stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10245646,INDIA,G,round,1.01,I,VS1,EX,EX,EX,N,6.38x6.40x4.03,GIA,2404931841,6800,-25.50%,$5116.66,WH,M0,,,,,,,,0.00,0.00,0.00,0.00,,,,Y,,,,"NO BGM AND EYECLEAN"
10245645,INDIA,G,round,0.30,H,VS2,VG,EX,VG,N,4.32x4.31x2.63,GIA,6405965409,2000,-37.60%,$374.40,WH,M0,,,,,EC0,,Y,63.00,61.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245644,INDIA,G,round,0.30,G,VS2,EX,EX,EX,N,4.31x4.32x2.63,GIA,6405930052,2100,-32.20%,$427.14,WH,M0,,,,,EC0,,Y,59.00,61.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245643,INDIA,G,round,0.30,G,VVS1,EX,EX,EX,N,4.35x4.33x2.60,GIA,6405925049,2500,-37.00%,$472.50,WH,M0,,,,,EC0,,Y,62.00,59.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245642,INDIA,G,round,0.30,F,VVS2,EX,EX,EX,N,4.34x4.32x2.66,GIA,6415003831,2500,-36.70%,$474.75,WH,M0,,,,,EC0,,Y,59.00,61.50,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245641,INDIA,G,round,0.30,G,VVS2,EX,EX,EX,N,4.26x4.29x2.67,GIA,6412116382,2300,-34.60%,$451.26,WH,M0,,,,,EC0,,Y,59.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245640,INDIA,G,round,0.30,F,VVS2,VG,VG,VG,N,4.36x4.37x2.55,GIA,6412113817,2500,-45.90%,$405.75,WH,M0,,,,,EC0,,Y,63.00,58.40,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245639,INDIA,G,round,0.30,D,SI2,VG,VG,VG,N,4.33x4.36x2.52,GIA,6412036444,1900,-44.00%,$319.20,WH,M0,,,,,EC0,,Y,66.00,57.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245638,INDIA,G,round,0.30,G,SI2,VG,EX,VG,N,4.26x4.29x2.64,GIA,6412112995,1600,-38.90%,$293.28,WH,M0,,,,,EC0,,Y,64.00,61.70,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10245637,INDIA,G,round,0.30,F,SI1,VG,EX,VG,N,4.28x4.27x2.60,GIA,6405423822,2000,-39.40%,$363.60,WH,M0,,,,,EC0,,Y,60.00,60.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
