Stock No,Shape,Carat,Color,Clarity,Cut,Polish,Symm,Fluor,Cert,Cert No,Measurements,Rap,back,Amount,Depth,Table,Shade,Milky,Eye Clean,Black Tab,Black Crn,Location,Comments,Arrive,Img
DTOZ5,round,0.30,H,VVS2,EX,EX,EX,N,GIA,1403947735,4.26-4.29x2.65,2200,-32.30%,$446.82,62.00%,56.00%,WH,M0,EC0,BT0,BC0,INDIA,NO BGM  no black,,
CTOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,2404829128,4.27-4.30x2.67,2000,-26.80%,$439.20,62.40%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
BTOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,2407264366,4.33-4.35x2.66,2000,-26.80%,$439.20,61.20%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
ATOZ5,round,0.30,H,VS2,EX,EX,EX,N,GIA,6405281195,4.26-4.28x2.67,2000,-27.30%,$436.20,62.50%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
9TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,1419212709,4.19-4.24x2.69,2100,-35.00%,$409.50,63.80%,58.00%,WH,M0,EC0,,,INDIA,NO BGM,,
8TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,2418210277,4.25-4.29x2.58,2100,-35.40%,$406.98,60.30%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
7TOZ5,round,0.30,H,VS1,VG,VG,VG,N,GIA,7416214701,4.16-4.20x2.68,2100,-35.40%,$406.98,64.10%,56.00%,WH,M0,EC0,,,INDIA,NO BGM,,
6TOZ5,round,0.30,H,VS1,VG,EX,EX,N,GIA,7401941381,4.17-4.20x2.68,2100,-35.80%,$404.46,64.10%,60.00%,WH,M0,EC0,,,INDIA,NO BGM,,
5TOZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,3415004041,4.28-4.31x2.66,2100,-27.60%,$456.12,62.00%,59.00%,WH,M0,EC0,,,INDIA,NO BGM,,
4TOZ5,round,0.30,H,VS1,EX,EX,EX,N,GIA,1405455917,4.26-4.28x2.67,2100,-28.00%,$453.60,62.40%,57.00%,WH,M0,EC0,,,INDIA,NO BGM,,
