REPORT_NO,STAGE,LOCATION,PACKET_NO,SHAPE,CTS,COLOR,PURITY,CUT,POLISH,SYMM,FLS,LAB,LENGTH_1,WIDTH,DEPTH,DEPTH_PER,TABLE_PER,DISC_PER,RATE,VALUE,NET_RATE,NET_VALUE,CROWN_ANGLE,CROWN_HEIGHT,PAV_ANGLE,PAV_HEIGHT,LWD,SHADE,PROPORTION,CULET,GIRDLE,CENTER_BLACK,SIDE_BLACK,CENTER_WHITE,SIDE_WHITE,MILKY,COMMENT_1,COMMENT_2,LASER_INSCRIPTION,ROUGH_MINE,BRILLIANCY,COP,POP,EYE_CLEAN,GIRDLE_PER,GRAINING,HA,LUSTER,NATURAL,RATIO,REPORT_COMMENT,KEY_TO_SYMBOLS,REPORT_DATE,STAR,DNA_LINK,VIDEO_JSON,VIDEO_MP4,CERTI_PDF,CERTI_JPG,REAL_IMAGE,ASST_SCOPE_IMAGE,HEART_IMAGE,DIAGRAM_IMAGE,ARROW_IMAGE
7232314427,M,INDIA,DB-282,ROUND,0.530,E,VVS2,EX,EX,EX,NON,GIA,5.19,5.15,3.24,62.60,57.00,7.140,4600.00,2438.00,4928.44,2612.07,36.00,15.50,41.20,43.50,5.19-5.15*3.24,NONE,3EX,NON,MED,,,,,ML-0,,,,,,,,,3.50,,GD,,,,,,28-07-2016,,null,null,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/DB-282/7232314427.jpg,null,null,null,null,null
6392119503,A,INDIA,91412,ROUND,0.700,L,VS1,VG,EX,VG,MED,GIA,5.53,5.46,3.59,65.30,57.00,-41.000,2300.00,1610.00,1357.00,949.90,38.00,17.00,40.60,43.00,5.53-5.46*3.59,NONE,VG,NON,STK to THK,1,0,0,0,ML-0,,,GIA 6392119503,,,,,YES,5.00,,GD,,Y,,,Crystal  Indented Natural  Cloud  Needle,18-06-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=91412,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/91412.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/6392119503.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/6392119503.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/91412_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/91412_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/91412_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91412/91412_AR.jpg
2374867570,A,INDIA,91563,ROUND,0.600,D,VVS2,EX,EX,EX,STG,GIA,5.47,5.45,3.33,61.00,59.00,-38.000,5000.00,3000.00,3100.00,1860.00,31.50,12.50,41.80,44.50,5.47-5.45*3.33,NONE,3EX,NON,MED to STK,0,0,0,0,ML-0,,,GIA 2374867570,,,,,YES,4.00,Y,GD,,N,,,Cloud  Internal Graining  Surface Graining,19-03-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=91563,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/91563.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/2374867570.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/2374867570.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/91563_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/91563_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/91563_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91563/91563_AR.jpg
2155531363,A,INDIA,KST-774,RADIANT,2.590,FANCY,SI2,,EX,EX,NON,GIA,8.27,6.94,4.87,70.20,63.00,1.650,3400.00,8806.00,3456.10,8951.30,,,,,8.27-6.94*4.87,BROWN,3EX,NON,STK TO THK,,,,,ML-0,,,GIA 2155531363,,,,,,,,GD,,,1.19,ADDITIONAL TWINNING WISPS  CLOUDS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,TWINNING WISP  FEATHER  CRYSTAL  EXTRA FACET,01-08-2013,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=KST-774,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-774/KST-774.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-774/2155531363.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-774/2155531363.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-774/KST-774_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/KST-774/KST-774_AS.jpg,null,null,null
395974510,A,INDIA,MS-363,OVAL,1.700,L,SI1,,VG,VG,VSL,IGI,9.11,6.77,4.20,62.00,59.00,-42.000,3500.00,5950.00,2030.00,3451.00,35.10,14.00,39.20,41.50,9.11-6.77*4.20,NONE,VG,POINTED,STK TO VTK,,,,,ML-0,,,IGI 395974510,,,,,,6.40,,GD,,,1.35,N/A,,13-11-2019,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=MS-363,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/MS-363/MS-363.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/MS-363/395974510.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/MS-363/395974510.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/MS-363/MS-363_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/MS-363/MS-363_AS.jpg,null,null,null
2387434097,A,INDIA,91848,ROUND,1.170,F,VVS1,EX,EX,EX,NON,GIA,6.86,6.82,4.16,60.70,59.00,-15.000,12600.00,14742.00,10710.00,12530.70,32.50,13.00,41.80,44.50,6.86-6.82*4.16,NONE,3EX,NON,MED,0,0,0,0,ML-0,,,GIA 2387434097,,,,,YES,3.50,N,GD,,N,,,Pinpoint  Feather,29-04-2021,55.00,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=91848,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/91848.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/2387434097.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/2387434097.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/91848_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/91848_AS.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/91848_HA.jpg,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91848/91848_AR.jpg
6362996545,A,INDIA,82150,EMERALD,0.480,J,IF,,EX,EX,NON,GIA,5.30,3.96,2.62,66.20,67.00,-36.000,1800.00,864.00,1152.00,552.96,,,,,5.30-3.96*2.62,NONE,3EX,NON,MED TO STK,0,0,0,0,ML-0,,,GIA 6362996545,,,,,YES,,N,GD,,N,1.34,,MINOR DETAILS OF POLISH,19-12-2020,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=82150,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/6362996545.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/6362996545.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/82150/82150_AS.jpg,null,null,null
7371248481,A,INDIA,88967,EMERALD,0.470,F,VS1,,EX,VG,NON,GIA,5.17,3.93,2.48,62.90,67.00,-35.000,2200.00,1034.00,1430.00,672.10,,,,,5.17-3.93*2.48,NONE,VG,NON,STK TO THK,0,0,0,1,ML-0,,,GIA 7371248481,,,,,YES,,N,GD,,N,1.32,,FEATHER,12-01-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=88967,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/7371248481.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/7371248481.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/88967/88967_AS.jpg,null,null,null
3385270515,A,INDIA,91940,EMERALD,0.500,D,VVS1,,EX,VG,VST,GIA,5.58,3.81,2.52,66.20,66.00,-55.000,3500.00,1750.00,1575.00,787.50,0.00,0.00,0.00,0.00,5.58-3.81*2.52,NONE,VG,NON,STK to THK,0,0,0,0,ML-0,,,GIA 3385270515,,,,,YES,,N,GD,,N,1.46,,Pinpoint  Feather,08-04-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=91940,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91940/91940.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91940/3385270515.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91940/3385270515.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91940/91940_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/91940/91940_AS.jpg,null,null,null
1388520336,A,INDIA,92777,EMERALD,0.500,I,VVS2,,EX,VG,NON,GIA,5.44,4.10,2.68,65.30,66.00,-35.000,2300.00,1150.00,1495.00,747.50,0.00,0.00,0.00,0.00,5.44-4.10*2.68,NONE,VG,NON,THN to MED,0,0,0,0,ML-0,,,GIA 1388520336,,,,,YES,,Y,GD,,N,1.33,,Pinpoint  Feather,01-05-2021,,null,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/Vision360.html?d=92777,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/92777/92777.mp4,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/92777/1388520336.pdf,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/92777/1388520336.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/92777/92777_RI.jpg,https://s3.ap-south-1.amazonaws.com/diadna/viewer4/imaged/92777/92777_AS.jpg,null,null,null
