STATUS,PACKETCODE,SHAPE,CRTWT,COL,CLR,rapaport,CUT,POL,SYM,FLOURESENCE,NATTS,COL-SHADE,MILKY,eye_clean,DIA_MN,DIA_MX,DPL,TBL,HT,LW,LAB,type2a_name,heart_and_arrow,measurement,GIRDLE,LN,WD,CA,CH,PA,PD,KTSVIEW,CERT_NO,COMMENT,LOC,INS,ARRIMG,CERTIMG,VIDEOS,VIDEOS_MP4,ASSET_PATH,HRTIMG,DIAMONDIMG,TYPE2A_PATH,PLOTIMG,EFCM,Culet,Origin,ROUGH_PHOTO_PATH,ROUGH_PLAN_PATH,Process Carat,final_carat,is_fancy,final_discount,RTE,final_amount
MKAV,3325534,ROUND,16.71,I,VS2,38500.0,EX,EX,EX,MED,YT1,NB,NO,EC0,16.11,16.24,62.7,58.0,10.15,null,GIA,null,NO,16.11*16.24-10.15,STK,null,null,36.0,15.5,40.8,43.0,Crystal  Feather  Needle,1216931945,Pinpoints are not shown. Clouds are not shown.,MUMBAI,GIA 1216931945 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1216931945.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3325534.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3325534.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3325534.jpg,,,NO,0.15,NAMIBIA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3325534.png,25.45,16.71,0,-19.0,31185.0,521101.35
MKAV,1752288,ROUND,8.02,D,SI1,39500.0,EX,EX,EX,NON,YT1,NB,NO,EC2,12.68,12.79,62.5,59.0,7.95,null,GIA,null,NO,12.68*12.79-7.95,STK,null,null,33.5,13.5,41.6,44.5,Crystal  Feather  Cloud,5212048162,Additional clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 5212048162 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/5212048162.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1752288.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1752288.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1752288.jpg,,,NO,0.22,NAMIBIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1752288.png,14.56,8.02,0,-23.4988,30218.0,242348.36
MKAV,1141954,ROUND,7.67,J,SI2,15000.0,EX,EX,EX,NON,YT1,NB,NO,EC2,12.46,12.55,62.0,59.0,7.76,null,GIA,null,NO,12.46*12.55-7.76,STK,null,null,35.5,15.0,40.8,43.0,Crystal  Pinpoint,1216919773,Clouds are not shown.,MUMBAI,GIA 1216919773 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1216919773.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1141954.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1141954.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1141954.jpg,,,NO,0.23,RUSSIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1141954.png,11.83,7.67,0,-6.5,14025.0,107571.75
MKAV,1009092,ROUND,7.2,D,I2,4800.0,VG,VG,VG,FNT,YT,NB,NO,EC2,11.91,12.05,64.68,55.1,7.76,null,NON,null,NO,11.91*12.05-7.76,STK TO THK,null,null,38.59,17.94,39.8,41.57,null,null,null,MUMBAI,null,,,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1009092.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1009092.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1009092.jpg,,,NO,0.26,ANGOLA,,,10.66,7.2,0,-37.5,3000.0,21600.0
MKAV,6107001,ROUND,6.35,L,VS2,12500.0,EX,EX,EX,NON,YT,NB,NO,EC0,11.73,11.81,62.9,58.0,7.4,null,GIA,null,null,11.73*11.81-7.40,STK,null,null,33.5,14.0,41.6,44.5,Feather  Cloud  Crystal  Needle,1397581565,Additional clouds  pinpoints and internal graining are not shown.,HONGKONG,GIA 1397581565 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1397581565.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6107001.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6107001.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6107001.jpg,,,,null,NAMIBIA,,,null,6.35,0,-27.0,9125.0,57943.75
MKAV,6113004,ROUND,6.08,I,SI1,20500.0,EX,EX,EX,MED,YES,NB,NO,EC0,11.59,11.68,62.7,58.0,7.29,null,GIA,null,null,11.59*11.68-7.29,MED TO STK,null,null,33.5,14.0,41.8,44.5,Crystal  Feather  Cloud  Needle,7401445559,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 7401445559 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/7401445559.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6113004.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6113004.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6113004.jpg,,,,null,,,,null,6.08,0,-27.0,14965.0,90987.2
MKAV,3386856,ROUND,6.06,FANCY LIGHT BROWN-GREENISH YELLOW,SI1,0.0,EX,EX,EX,FNT,YES,MIX-T,NO,EC2,11.55,11.64,62.4,57.0,7.23,null,GIA,null,NO,11.55*11.64-7.23,MED TO STK,null,null,36.14,15.73,40.53,42.64,Crystal  Feather  Needle,2215651458,Clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 2215651458 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215651458.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3386856.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3386856.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3386856.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3386856.jpg,,,NO,0.23,ANGOLA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3386856.png,9.89,6.06,1,0.0,4550.0,27573.0
MKAV,3733331,ROUND,5.07,E,VVS2,67000.0,EX,EX,EX,FNT,NO,NB,NO,EC0,10.98,11.05,60.8,60.0,6.69,null,GIA,null,NO,10.98*11.05-6.69,MED TO STK,null,null,34.0,13.5,40.8,43.0,Pinpoint,2215863177,Additional pinpoints are not shown.,MUMBAI,GIA 2215863177 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215863177.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3733331.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3733331.jpg,,,NO,0.24,NAMIBIA,,,7.38,5.07,0,-47.0,35510.0,180035.7
MKAV,6107003,ROUND,5.01,H,VVS2,39000.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.94,11.04,61.1,61.0,6.71,null,GIA,null,null,10.94*11.04-6.71,STK,null,null,32.5,12.5,41.4,44.0,Pinpoint  Needle,1399347282,Additional pinpoints are not shown.,HONGKONG,GIA 1399347282 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1399347282.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6107003.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6107003.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6107003.jpg,,,,null,NAMIBIA,,,null,5.01,0,-32.0,26520.0,132865.2
MKAV,47528,ROUND,5.99,I,VVS2,30000.0,EX,EX,EX,NON,NO,NONE,NO,null,null,null,60.0,60.0,7.12,null,HRD,null,null,11.83 - 11.90 mm x 7.12 mm,MED,11.83,11.9,32.0,12.5,41.6,44.5,,200000047422,null,BELGIUM,null,,,,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/47528.jpg,,,,null,,,,null,5.99,0,-50.0,15000.0,89850.0
