Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC
KG-56738,ROUND,0.300,E,SI2,EX,EX,EX,MED,BLU,,,,4.27 - 4.28 * 2.68,4.27,4.28,2.68,GIA,,6395949252,https://www.gia.edu/report-check?reportno=6395949252,03/09/2021,GIA 6395949252,,IND,62.60,56.00,MED to STK,MED,STK,0.04,FACETED,NONE,,16.00,36.00,43.00,40.80,,,,Crystal,,0.50,0.80,SB0,TB0,SF1,SC1,,,1,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,ONHOLD,NO,NO,NO,,,,,,,1900.0,-42.0,1102.0,330.6,,,,
KG-56744,ROUND,0.300,D,SI1,VG,EX,EX,NON,,,,,4.18 - 4.21 * 2.69,4.18,4.21,2.69,GIA,,2397950742,https://www.gia.edu/report-check?reportno=2397950742,31/08/2021,GIA 2397950742,,IND,64.10,55.00,MED to STK,MED,STK,0.05,FACETED,NONE,,17.50,38.50,42.00,40.20,,,,Crystal  Cloud,,0.50,0.80,SB0,TB1,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,2300.0,-42.0,1334.0,400.2,,,,
KG-56759,ROUND,0.300,D,SI2,VG,EX,EX,MED,BLU,,,,4.18 - 4.21 * 2.70,4.18,4.21,2.70,GIA,,6395951389,https://www.gia.edu/report-check?reportno=6395951389,31/08/2021,GIA 6395951389,,IND,64.40,56.00,STK to THK,STK,THK,0.06,FACETED,NONE,,15.50,35.00,43.50,41.20,,,,Crystal,,0.50,0.75,SB0,TB0,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,2000.0,-45.0,1100.0,330.0,,,,
KG-57153,ROUND,0.270,D,IF,EX,EX,EX,NON,,,,,4.13 - 4.15 * 2.60,4.13,4.15,2.60,GIA,,7408040508,https://www.gia.edu/report-check?reportno=7408040508,31/08/2021,GIA 7408040508,,IND,62.80,56.00,MED,MED,,0.04,FACETED,NONE,,16.00,36.50,43.00,41.00,,,,Minor Details of Polish,,0.50,0.80,SB0,TB0,SF0,SC0,,,1,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,1830.0,32.0,2415.59,652.21,,,,
KG-56975,ROUND,0.430,E,SI2,EX,EX,EX,NON,,,,,4.81 - 4.83 * 3.00,4.81,4.83,3.00,GIA,,6391953510,https://www.gia.edu/report-check?reportno=6391953510,31/08/2021,GIA 6391953510,,IND,62.20,58.00,MED,MED,,0.04,FACETED,NONE,,15.00,35.50,43.50,41.20,,,,Crystal,,0.50,0.80,SB0,TB1,SF0,SC0,,,1,,,TF1,,,,,,,  ,NO BGM  100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,2200.0,-30.0,1540.0,662.2,,,,
KG-57438,ROUND,0.300,E,SI2,VG,EX,EX,FNT,,,,,4.24 - 4.26 * 2.68,4.24,4.26,2.68,GIA,,3395954754,https://www.gia.edu/report-check?reportno=3395954754,31/08/2021,GIA 3395954754,,IND,63.00,59.00,MED to STK,MED,STK,0.04,FACETED,NONE,,14.50,35.00,44.50,41.60,,,,Crystal  Feather,,0.50,0.80,SB0,TB1,SF1,SC0,,,1,,,TF1,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,1900.0,-46.0,1026.0,307.8,,,,
KG-57479,ROUND,0.300,F,SI2,EX,EX,EX,STG,BLU,,,,4.27 - 4.29 * 2.69,4.27,4.29,2.69,GIA,,1397954826,https://www.gia.edu/report-check?reportno=1397954826,31/08/2021,GIA 1397954826,,IND,62.90,56.00,MED to STK,MED,STK,0.04,FACETED,NONE,,15.00,34.50,44.00,41.40,,,,Crystal  Feather,,0.50,0.80,SB0,TB2,SF1,SC2,,,1,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,ONHOLD,NO,NO,NO,,,,,,,1800.0,-43.0,1026.0,307.8,,,,
KG-57224,ROUND,0.500,D,SI2,VG,EX,EX,MED,BLU,,,,4.96 - 4.99 * 3.18,4.96,4.99,3.18,GIA,,6392951271,https://www.gia.edu/report-check?reportno=6392951271,03/09/2021,GIA 6392951271,,IND,63.90,57.00,STK to THK,STK,THK,0.05,FACETED,NONE,,17.00,38.50,42.00,40.20,,,,Crystal,,0.55,0.80,SB2,TB0,SF0,SC1,,,0.99,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,3100.0,-36.0,1984.0,992.0,,,,
KG-57301,ROUND,0.560,E,VS1,EX,EX,EX,NON,,,,,5.33 - 5.34 * 3.19,5.33,5.34,3.19,GIA,,6405040802,https://www.gia.edu/report-check?reportno=6405040802,31/08/2021,GIA 6405040802,,IND,59.80,60.00,STK,STK,,0.04,FACETED,NONE,,12.50,32.00,43.50,41.00,,,,Crystal  Feather  Needle  Pinpoint,,0.50,0.75,SB0,TB0,SF0,SC0,,,1,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,AVAILABLE,NO,NO,NO,,,,,,,4600.0,-29.0,3266.0,1828.96,,,,
KG-57308,ROUND,0.300,F,VVS2,EX,EX,VG,FNT,,,,,4.32 - 4.34 * 2.60,4.32,4.34,2.60,GIA,,5403036304,https://www.gia.edu/report-check?reportno=5403036304,31/08/2021,GIA 5403036304,,IND,60.20,59.00,MED to STK,MED,STK,0.04,FACETED,NONE,,13.50,33.50,43.00,40.80,,,,Indented Natural  Pinpoint,,0.50,0.75,SB0,TB0,SF0,SC0,,,1,,,TF0,,,,,,,  ,NO BGM 100% EYECLEAN,10/01/2022,ONHOLD,NO,NO,NO,,,,,,,2600.0,-46.0,1404.0,421.2,,,,
