Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
AD1,RBC,2.53,E,VVS1,VG,EX,EX,MED,G,8.67 - 8.69 * 5.42,Gia,6275911000,,29000.00,15370.00,-47.00,38886.10,,,,62.40,57.00,STK,STK,4.50,F,N,NON,14.50,34.50,43.50,41.00,GIA 6275911000,Feather,N,N,YES,Internal Graining Is Not Shown,,,
K13419,RBC,0.32,I,IF,EX,EX,EX,STG,,4.34 - 4.36 * 2.72,Gia,2287740240,,2300.00,1288.00,-44.00,412.16,,,,62.50,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.20,GIA 2287740240,Minor Details of Polish,N,,YES,,,,
K17100,RBC,0.35,F,IF,EX,EX,EX,FNT,,4.47 - 4.50 * 2.83,Gia,1307498785,,2900.00,2001.00,-31.00,700.35,,,,63.00,58.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.50,44.50,41.60,GIA 1307498785,Minor Details of Polish,N,N,YES,,,,
K21043,RBC,0.30,E,IF,EX,EX,VG,No,,4.25 - 4.30 * 2.66,Gia,2326467451,,3000.00,1830.00,-39.00,549.00,,,,62.20,60.00,THN to STK,THN to STK,4.00,F,,NON,13.50,34.00,44.50,41.80,GIA 2326467451,Natural  Minor Details of Polish,N,N,YES,,,,
K21549,RBC,0.30,,SI1,,EX,EX,MED,,4.28 - 4.30 * 2.63,Gia,2328597189,,1300.00,1300.00,0.00,390.00,G,F,,61.40,61.00,MED to STK,MED to STK,,F,,NON,,,,,GIA 2328597189,Crystal  Feather,N,N,YES,,,,
K22490,RBC,0.32,F,IF,EX,EX,EX,STG,,4.39 - 4.40 * 2.71,Gia,6204321471,,2900.00,1537.00,-47.00,491.84,,,,61.70,59.00,MED to STK,MED to STK,4.00,F,,NON,14.50,35.50,43.00,40.80,GIA 6204321471,Minor Details of Polish,N,N,YES,,,,
K23926,RBC,0.30,D,IF,VG,EX,EX,FNT,,4.20 - 4.23 * 2.69,Gia,6331581678,,3800.00,2204.00,-42.00,661.20,,,,63.90,59.00,STK to THK,STK to THK,5.00,F,,NON,14.50,35.50,44.50,41.60,GIA 6331581678,Minor Details of Polish,N,N,YES,,,,
K24814,RBC,0.35,K,IF,EX,EX,EX,FNT,,4.49 - 4.52 * 2.83,Gia,6335984491,,1800.00,1188.00,-34.00,415.80,,,,62.70,56.00,MED to STK,MED to STK,4.00,F,,NON,16.00,35.50,43.00,40.80,GIA 6335984491,Minor Details of Polish,N,N,YES,,,,
K24919,RBC,0.33,K,IF,EX,EX,EX,STG,,4.47 - 4.49 * 2.73,Gia,6331984734,,1800.00,1008.00,-44.00,332.64,,,,61.00,59.00,MED to STK,MED to STK,4.00,F,,NON,13.00,33.00,44.00,41.40,GIA 6331984734,Minor Details of Polish,N,,YES,,,,
K25363,RBC,0.34,G,IF,EX,EX,EX,MED,,4.44 - 4.47 * 2.79,Gia,6342161416,,2700.00,1458.00,-46.00,495.72,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.00,GIA 6342161416,Minor Details of Polish,N,N,YES,,,,
K26187,RBC,0.31,G,IF,EX,EX,EX,FNT,,4.34 - 4.36 * 2.69,Gia,2347854753,,2700.00,1647.00,-39.00,510.57,,,,61.80,60.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,44.50,41.80,GIA 2347854753,Minor Details of Polish,N ,N ,YES,,,,
