field_stock_refno,field_stock_location,field_stock_certno,field_stock_diamond_image,field_stock_videopath,field_stock_shape,field_stock_carat,field_stock_color,field_stock_clarity,field_stock_cut,field_stock_polish,field_stock_symmetry,field_stock_fluorescence,field_stock_diameter,field_stock_table,field_stock_depth,field_stock_certificate,field_stock_rap,field_stock_discount,field_stock_pr_pc,price__number,field_stock_bgm,field_stock_tabinc,field_stock_blackinc,field_stock_eyeclean,field_stock_parishicomments,field_stock_hacode,field_stock_weight,field_stock_girdle,field_stock_girdlecondition,field_stock_ca,field_stock_ch,field_stock_pa,field_stock_ph,field_stock_culet,field_stock_keytosymbols,field_stock_comments,field_stock_status1
215755,India,6365900060,https:\/\/videop.co.in\/imaged\/S-66J-4400\/S-66J-4400.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-66J-4400\u0026zoomslide=1\u0026id=215755,OV,1.90,K,SI1,null,EX,VG,NONE,8.96-6.49*4.51,62.00,69.40,GIA,4100,-30.70,2841,5398.470000,null,-,-,0,-,NO,1.90,VTK-ETK,Faceted,42.70,18.40,38.20,39.50,N,Crystal  Cloud  Needle  Indented Natural,Additional clouds  pinpoints and surface graining are not shown.,L
219023,India,459120374,https:\/\/videop.co.in\/imaged\/S-86D-2200\/S-86D-2200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-86D-2200\u0026zoomslide=1\u0026id=219023,RD,1.00,K,VVS2,EX,EX,EX,NONE,6.38-6.42*3.98,57.50,62.10,IGI,4800,-45.70,2606,2606.400000,null,-,-,0,-,NO,1.00,-,25,33.70,14.00,41.50,44.00,PO,IDEAL CUT ROUND BRILLIANT,IDEAL CUT ROUND BRILLIANT,S
217749,India,6375204146,https:\/\/videop.co.in\/imaged\/S-71K-7300\/S-71K-7300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-71K-7300\u0026zoomslide=1\u0026id=217749,OV,2.71,L,SI1,null,EX,EX,FNT,10.03-7.42*5.14,57.00,69.20,GIA,4300,-30.70,2979,8075.530000,null,-,-,0,-,NO,2.71,VTK-ETK,Faceted,42.10,21.10,38.20,38.10,N,Crystal  Feather  Cloud  Needle,Additional clouds are not shown. Pinpoints are not shown.,L
218179,India,6375262220,https:\/\/videop.co.in\/imaged\/S-78F-10701\/S-78F-10701.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-78F-10701\u0026zoomslide=1\u0026id=218179,RD,0.33,E,VVS2,EX,EX,EX,NONE,4.52-4.54*2.71,59.00,59.90,GIA,2600,-33.70,1723,568.850000,null,-,-,0,-,NO,0.33,THN-MED,Faceted,31.50,12.50,41.80,44.50,N,Cloud  Pinpoint,null,S
218635,India,7371310298,https:\/\/videop.co.in\/imaged\/S-67G-15602\/S-67G-15602.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-67G-15602\u0026zoomslide=1\u0026id=218635,RD,0.58,D,IF,EX,EX,EX,NONE,5.41-5.46*3.25,59.00,59.70,GIA,7000,-35.70,4501,2610.580000,null,-,-,0,-,NO,0.58,MED-STK,Faceted,33.50,13.50,40.80,43.00,N,Minor Details of Polish,null,S
219300,India,6372547428,https:\/\/videop.co.in\/imaged\/S-75F-22800\/S-75F-22800.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-75F-22800\u0026zoomslide=1\u0026id=219300,OV,1.01,J,VVS2,null,EX,VG,NONE,7-5.15*3.6,62.00,69.80,GIA,4100,-44.70,2267,2289.970000,null,-,-,0,J+  ,NO,1.01,VTK-ETK,Faceted,48.30,20.50,35.40,37.00,N,Needle  Feather  Pinpoint,Additional pinpoints are not shown. Clouds are not shown.,S
219224,India,2376543685,https:\/\/videop.co.in\/imaged\/S-80G-8101\/S-80G-8101.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-80G-8101\u0026zoomslide=1\u0026id=219224,RD,0.50,J,VVS1,EX,EX,EX,FNT,5.09-5.13*3.14,59.00,61.50,GIA,2800,-35.70,1800,900.200000,BR1,-,-,0,-,NO,0.50,MED-STK,Faceted,31.50,12.50,41.80,44.50,N,Pinpoint,null,S
221154,India,5376994533,https:\/\/videop.co.in\/imaged\/S-89F-4600\/S-89F-4600.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-89F-4600\u0026zoomslide=1\u0026id=221154,OV,1.50,J,VVS2,null,EX,VG,NONE,8.19-6.07*4.2,58.00,69.20,GIA,5800,-36.70,3671,5507.100000,null,-,-,0,-,NO,1.50,ETK-,Faceted,41.90,19.20,38.60,39.30,N,Feather,null,S
304987,India,6345480717,https:\/\/videop.co.in\/imaged\/P-21-289\/P-21-289.jpg ,https:\/\/videop.co.in\/vision360.html?d=P-21-289\u0026zoomslide=1\u0026id=304987,RD,1.00,M,SI2,EX,EX,EX,NONE,6.37-6.3*4,55.00,63.20,GIA,2800,-38.70,1716,1716.400000,null,T3,B1,1,-,NO,1.00,THN-STK,Faceted,36.50,17.00,40.60,42.50,N,Twinning Wisp  Feather  Crystal  Indented Natural  Natural,Additional twinning wisps  clouds  pinpoints  internal graining and surface graining are not shown.,L
209797,India,7362014764,https:\/\/videop.co.in\/imaged\/S-12A-200\/S-12A-200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-12A-200\u0026zoomslide=1\u0026id=209797,OV,4.01,D,VS2,null,EX,VG,NONE,12.05-8.57*5.7,58.00,66.40,GIA,33500,-45.70,18190,72943.910000,null,T2,B2,0,-,NO,4.01,THK-ETK,Faceted,42.70,19.50,39.00,40.30,N,Crystal  Feather  Needle,Clouds  pinpoints and surface graining are not shown.,L
215123,India,6361801238,https:\/\/videop.co.in\/imaged\/S-50D-1200\/S-50D-1200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-50D-1200\u0026zoomslide=1\u0026id=215123,OV,2.50,D,VS1,null,EX,EX,MED,9.93-7.16*5.01,60.00,69.90,GIA,17000,-47.70,8891,22227.500000,null,-,-,0,-,NO,2.50,VTK-ETK,Faceted,44.10,19.60,38.80,41.60,N,Crystal  Knot  Pinpoint  Natural,Additional pinpoints are not shown.,L
216217,India,2367953581,https:\/\/videop.co.in\/imaged\/S-67H-23300\/S-67H-23300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-67H-23300\u0026zoomslide=1\u0026id=216217,OV,1.50,M,SI1,null,EX,VG,NONE,8.18-6.06*4.1,55.00,67.80,GIA,2700,-34.70,1763,2644.650000,null,-,-,0, SI1+  ,NO,1.50,ETK-,Faceted,42.50,20.90,35.70,35.40,N,Cloud  Indented Natural  Pinpoint  Natural,Additional pinpoints are not shown.,L
216964,India,6371260433,https:\/\/videop.co.in\/imaged\/S-64K-14200\/S-64K-14200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-64K-14200\u0026zoomslide=1\u0026id=216964,OV,2.01,O-P,SI2,null,EX,VG,FNT,9.03-6.69*4.65,60.00,69.50,GIA,3400,-52.70,1608,3232.480000,null,-,-,0,-,NO,2.01,VTK-ETK,Faceted,42.20,17.30,39.40,41.70,N,Feather  Crystal  Needle,Clouds are not shown. Pinpoints are not shown.,S
216351,India,5366953267,https:\/\/videop.co.in\/imaged\/S-52I-4600\/S-52I-4600.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-52I-4600\u0026zoomslide=1\u0026id=216351,OV,1.50,K,SI1,null,EX,GD,NONE,8.1-6.06*4.23,55.00,69.80,GIA,4100,-41.70,2390,3585.450000,null,-,-,0,-,NO,1.50,ETK-,Faceted,43.40,20.30,34.80,37.20,N,Feather  Crystal  Cavity  Cloud  Needle  Indented Natural  Natural,Additional clouds are not shown. Pinpoints are not shown.,L
216719,India,1373014931,https:\/\/videop.co.in\/imaged\/S-64I-11200\/S-64I-11200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-64I-11200\u0026zoomslide=1\u0026id=216719,OV,2.01,J,SI1,null,EX,VG,NONE,9.13-6.54*4.55,61.00,69.70,GIA,7000,-35.70,4501,9047.010000,null,-,-,1,-,NO,2.01,VTK-ETK,Faceted,43.70,18.90,38.30,38.90,N,Crystal  Feather  Needle  Cloud  Indented Natural  Natural,Additional clouds  pinpoints and surface graining are not shown.,L
218199,India,6372295056,https:\/\/videop.co.in\/imaged\/S-81G-6200\/S-81G-6200.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-81G-6200\u0026zoomslide=1\u0026id=218199,OV,2.01,E,VS2,null,EX,VG,NONE,9.43-6.72*4.55,64.00,67.60,GIA,14500,-35.70,9323,18740.240000,null,-,-,0,-,NO,2.01,VTK-ETK,Faceted,40.40,15.50,40.00,42.20,N,Crystal  Feather  Needle,Clouds are not shown. Pinpoints are not shown.,L
221777,India,1373849077,https:\/\/videop.co.in\/imaged\/S-90J-27700\/S-90J-27700.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-90J-27700\u0026zoomslide=1\u0026id=221777,OV,1.01,G,SI2,null,EX,VG,NONE,7.07-5.25*3.61,62.00,68.70,GIA,4600,-48.70,2359,2383.400000,BR1,-,-,0,-,NO,1.01,VTK-ETK,Faceted,42.90,18.20,38.30,38.90,N,Crystal  Cloud  Feather  Needle  Cavity  Natural,Additional clouds are not shown. Pinpoints are not shown.,L
221775,India,6371848910,https:\/\/videop.co.in\/imaged\/S-90H-23600\/S-90H-23600.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-90H-23600\u0026zoomslide=1\u0026id=221775,OV,1.50,J,SI1,null,EX,VG,NONE,8.08-5.98*4.18,60.00,69.80,GIA,5100,-38.70,3126,4689.450000,null,-,-,1,-,NO,1.50,VTK-ETK,Faceted,44.50,20.10,36.70,37.80,N,Crystal  Pinpoint  Indented Natural  Natural,Additional pinpoints are not shown. Surface graining is not shown.,L
206345,India,5353619368,https:\/\/videop.co.in\/imaged\/S-3F-3600\/S-3F-3600.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-3F-3600\u0026zoomslide=1\u0026id=206345,CM,1.80,D,SI1,null,EX,EX,FNT,6.86-6.78*4.56,60.00,67.30,GIA,9700,-42.70,5558,10004.580000,null,T3,B3,1,NONE-,NO,1.80,THN-STK,Faceted,39.80,16.70,32.00,46.30,N,Crystal  Feather  Cloud,Pinpoints are not shown. Surface graining is not shown.,L
210733,India,2364128621,https:\/\/videop.co.in\/imaged\/S-30H-11800\/S-30H-11800.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-30H-11800\u0026zoomslide=1\u0026id=210733,OV,1.80,E,SI1,null,EX,VG,NONE,8.6-6.32*4.39,57.00,69.50,GIA,9200,-37.70,5731,10316.880000,null,-,-,0,-,NO,1.80,ETN-,Faceted,43.10,20.30,36.10,37.60,N,Cloud  Crystal  Feather  Needle  Indented Natural,Pinpoints are not shown.,L
216145,India,5376014884,https:\/\/videop.co.in\/imaged\/S-59D-1300\/S-59D-1300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-59D-1300\u0026zoomslide=1\u0026id=216145,OV,2.01,M,SI2,null,EX,VG,NONE,9.45-6.75*4.46,57.00,66.00,GIA,3400,-35.70,2186,4394.260000,null,-,-,1,-,NO,2.01,VTK-ETK,Faceted,43.20,19.80,37.50,37.60,N,Feather  Indented Natural  Cloud  Needle,Additional clouds  pinpoints and surface graining are not shown.,L
216575,India,6371014914,https:\/\/videop.co.in\/imaged\/S-74E-8300\/S-74E-8300.jpg ,https:\/\/videop.co.in\/vision360.html?d=S-74E-8300\u0026zoomslide=1\u0026id=216575,OV,2.01,K,VS1,null,EX,VG,FNT,9.09-6.58*4.56,53.00,69.40,GIA,6200,-38.70,3800,7639.210000,null,-,-,0,-,NO,2.01,ETK-,Faceted,41.50,21.00,36.80,36.80,N,Feather  Needle  Pinpoint,Additional pinpoints are not shown.,L
