Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,FluorescenceColor,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean
SJ-52583,Subject to Prior Sale,CUSHION MODIFIED BRILLIANT,1.0,H,SI1,,EX,VG,,NON,5.80 - 5.41 X 3.88,GIA,6372074600,5200.0,47.0,2756.0,,,,71.7,59.0,MED,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,HK,https://thnk18.azureedge.net/img/images/imaged/G241-161780/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=G241-161780,https://thnk18.azureedge.net/img/CertImages/6372074600.jpg,,,,FEATHER  CRYSTAL  PINPOINT  NATURAL,INSPECTION ADVISABLE,PIN POINT BLACK,NONE,90.0
SJ-52632,Subject to Prior Sale,PEAR,1.64,*,VS2,,VG,VG,,NON,9.75 - 6.37 X 3.89,GIA,6361624609,3500.0,0.0,3150.0,BROWN,FANCY DARK,PINKISH BROWN,61.1,63.0,THK,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,HK,https://thnk18.azureedge.net/img/images/imaged/G513-156769/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=G513-156769,https://thnk18.azureedge.net/img/CertImages/6361624609.jpg,,,,NEEDLE  PINPOINT,NONE,NONE,NONE,100.0
RL-52663,Subject to Prior Sale,PEAR,0.52,D,VVS2,,VG,VG,,NON,7.47 - 4.37 X 2.69,GIA,1393936594,3600.0,21.0,2844.0,,,,61.5,66.0,THN,THK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/RL-52663/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=RL-52663,https://thnk18.azureedge.net/img/CertImages/1393936594.jpg,,,,NEEDLE  PINPOINT,,NONE,,0.0
RL-52664,Subject to Prior Sale,PEAR,0.5,D,VVS2,,EX,G,,NON,7.21 - 4.34 X 2.66,GIA,7392936459,3600.0,25.0,2700.0,,,,61.3,58.0,STK,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/RL-52664/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=RL-52664,https://thnk18.azureedge.net/img/CertImages/7392936459.jpg,,,,CLOUD  PINPOINT  SURFACE GRAINING,,NONE,,0.0
RL-52672,Subject to Prior Sale,HEART,0.53,H,VVS1,,EX,VG,,NON,4.91 - 5.59 X 3.24,GIA,3405011831,3000.0,20.0,2400.0,,,,58.1,59.0,STK,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/RL-52672/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=RL-52672,https://thnk18.azureedge.net/img/CertImages/3405011831.jpg,,,,NEEDLE  FEATHER,,NONE,,0.0
SJ-52677,Subject to Prior Sale,ROUND,0.3,J,SI1,VG,EX,EX,,NON,4.28 - 4.25 X 2.64,GIA,1383936100,1500.0,25.0,1125.0,,,,61.8,59.0,MED,STK,4.5,Faceted,MINOR,,14.5,35.5,42.5,40.6,HK,https://thnk18.azureedge.net/img/images/imaged/H456-180840/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H456-180840,https://thnk18.azureedge.net/img/CertImages/1383936100.jpg,,,,Crystal  Feather,NONE,MEDIUM BLACK,NONE,85.0
SJ-52679,Subject to Prior Sale,ROUND,1.09,I,VS2,EX,EX,EX,BLUE,STG,6.58 - 6.52 X 4.11,GIA,1216701108,7000.0,32.0,4760.0,,,,62.7,58.0,MED,,3.5,FACETED,NON,,15.5,36.5,43.5,41.0,HK,https://thnk18.azureedge.net/img/images/imaged/H211-177226/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H211-177226,https://thnk18.azureedge.net/img/CertImages/1216701108.jpg,,,,CLOUD  CRYSTAL  NEEDLE,INSPECTION ADVISABLE,NONE,NONE,100.0
SJ-52690,Subject to Prior Sale,ROUND,0.5,H,VS1,EX,EX,VG,,NON,5.08 - 5.04 X 3.17,GIA,1383836095,3900.0,24.0,2964.0,,,,62.6,56.0,MED,STK,3.5,Faceted,NON,,16.5,36.5,43.0,40.8,HK,https://thnk18.azureedge.net/img/images/imaged/H215-179515/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H215-179515,https://thnk18.azureedge.net/img/CertImages/1383836095.jpg,,,,Crystal  Feather  Pinpoint  Needle,NONE,PIN POINT BLACK,NONE,100.0
SJ-52691,Subject to Prior Sale,ROUND,0.5,H,VS2,EX,EX,VG,,NON,5.09 - 5.04 X 3.20,GIA,5376839398,3700.0,24.0,2812.0,,,,63.1,56.0,MED,STK,4.0,FACETED,NON,,14.5,34.0,44.5,41.6,HK,https://thnk18.azureedge.net/img/images/imaged/H431-168735/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H431-168735,https://thnk18.azureedge.net/img/CertImages/5376839398.jpg,,,,CRYSTAL  CLOUD  FEATHER,NONE,MINOR BLACK,NONE,90.0
SJ-52692,Subject to Prior Sale,ROUND,0.3,H,SI1,EX,EX,VG,,NON,4.33 - 4.31 X 2.59,GIA,6382669638,1800.0,21.5,1413.0,,,,60.1,59.0,MED,STK,4.0,Faceted,MINOR,,13.5,33.0,43.0,40.8,HK,https://thnk18.azureedge.net/img/images/imaged/H451-178859/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H451-178859,https://thnk18.azureedge.net/img/CertImages/6382669638.jpg,,,,Twinning Wisp  Feather,NONE,MINOR BLACK,NONE,90.0
BL-52710,Subject to Prior Sale,HEART,1.0,J,VVS2,,VG,VG,,NON,5.94 - 6.92 X 4.21,IGI,485168709,4400.0,36.0,2816.0,,,,60.8,61.5,MEDIUM,VERY THICK (FACETED),5.0,,NON,,13.5,34.3,42.0,40.4,MUM,https://thnk18.azureedge.net/img/images/imaged/BL-52710/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=BL-52710,https://thnk18.azureedge.net/img/CertImages/485168709.jpg,,,,,NONE,NONE,,100.0
SJ-52719,Subject to Prior Sale,ROUND,0.5,H,SI1,EX,EX,VG,,NON,5.10 - 5.07 X 3.12,GIA,2398584187,3100.0,30.5,2154.5,,,,61.3,59.0,MED,STK,4.0,FACETED,NON,,14.5,35.0,43.0,40.8,HK,https://thnk18.azureedge.net/img/images/imaged/H476-190929/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H476-190929,https://thnk18.azureedge.net/img/CertImages/2398584187.jpg,,,,CRYSTAL  FEATHER,INSPECTION ADVISABLE,MEDIUM BLACK,NONE,80.0
SJ-52720,Subject to Prior Sale,ROUND,0.5,J,SI1,EX,EX,EX,,NON,5.18 - 5.16 X 3.09,GIA,6391615747,2300.0,26.0,1702.0,,,,59.8,59.0,MED,,3.5,FACETED,NON,,13.0,32.5,43.5,41.0,HK,https://thnk18.azureedge.net/img/images/imaged/H477-191520/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H477-191520,https://thnk18.azureedge.net/img/CertImages/6391615747.jpg,,,,CRYSTAL  TWINNING WISP  INDENTED NATURAL,INSPECTION ADVISABLE,HEAVY BLACK,NONE,80.0
SJ-52726,Subject to Prior Sale,MARQUISE,1.0,E,SI1,,VG,G,,NON,11.59 - 5.24 X 2.57,GIA,1368552441,6200.0,29.75,4355.5,,,,49.0,62.0,THK,ETK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,HK,https://thnk18.azureedge.net/img/images/imaged/G516-156116/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=G516-156116,https://thnk18.azureedge.net/img/CertImages/1368552441.jpg,,,,FEATHER  CRYSTAL  CLOUD  INDENTED NATURAL  NATURAL  EXTRA FACET,NONE,PIN POINT BLACK,NONE,90.0
PUR-52740,Subject to Prior Sale,ROUND,0.46,J,SI1,EX,EX,EX,,FNT,5.00 - 4.97 X 3.03,GIA,6392585246,1700.0,16.0,1428.0,,,,60.8,58.0,STK,,4.0,FACETED,MINOR,,14.0,34.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/H466-190953/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H466-190953,https://thnk18.azureedge.net/img/CertImages/6392585246.jpg,,,,TWINNING WISP  FEATHER,NONE,PIN POINT BLACK,NONE,90.0
ME-52744,Subject to Prior Sale,ROUND,0.7,E,I1,VG,EX,VG,,NON,5.60 - 5.53 X 3.56,GIA,7396626591,2700.0,30.0,1890.0,,,,64.1,56.0,-,-,0.0,FACETED,NON,,16.0,37.0,42.0,40.4,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52744/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52744,https://thnk18.azureedge.net/img/CertImages/7396626591.jpg,,,,CRYSTAL  CLOUD  FEATHER,NONE,NONE,NONE,0.0
ME-52746,Subject to Prior Sale,ROUND,0.6,K,SI1,VG,VG,VG,,FNT,5.30 - 5.24 X 3.40,GIA,5393272651,1900.0,27.0,1387.0,,,,64.4,55.0,-,-,5.0,Faceted,,,17.0,37.0,42.5,40.4,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52746/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52746,https://thnk18.azureedge.net/img/CertImages/5393272651.jpg,,,,Twinning Wisp  Crystal  Indented Natural  Feather,NONE,,NONE,0.0
ME-52771,Subject to Prior Sale,ROUND,0.51,I,VS2,EX,EX,EX,,NON,5.11 - 5.07 X 3.19,IGI,490104609,3100.0,32.0,2108.0,,,,62.6,57.0,MEDIUM (FACETED) ,,3.0,,NON,,15.5,36.4,43.0,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52771/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52771,https://thnk18.azureedge.net/img/CertImages/490104609.jpg,,,,,NONE,NONE,NONE,0.0
ME-52782,Subject to Prior Sale,ROUND,0.42,D,I1,EX,EX,EX,,NON,4.81 - 4.78 X 3.01,GIA,5403287131,1700.0,25.0,1275.0,,,,62.8,57.0,-,-,0.0,Faceted,,,14.5,34.0,44.0,41.6,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52782/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52782,https://thnk18.azureedge.net/img/CertImages/5403287131.jpg,,,,Cloud  Crystal,NONE,,NONE,0.0
ME-52792,Subject to Prior Sale,ROUND,0.4,F,VS2,EX,VG,EX,,STG,4.75 - 4.72 X 2.93,GIA,7391432472,2700.0,34.0,1782.0,,,,61.9,55.0,-,-,3.5,Faceted,,,0.0,35.0,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52792/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52792,https://thnk18.azureedge.net/img/CertImages/7391432472.jpg,,,,Crystal  Cloud  Feather  Indented Natural,NONE,,NONE,0.0
ME-52795,Subject to Prior Sale,ROUND,0.4,F,SI1,VG,EX,EX,,FNT,4.63 - 4.59 X 2.95,GIA,2397627301,2300.0,35.0,1495.0,,,,64.0,56.0,-,-,5.0,FACETED,NON,,17.0,37.5,42.0,40.2,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52795/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52795,https://thnk18.azureedge.net/img/CertImages/2397627301.jpg,,,,CLOUD  CRYSTAL,NONE,NONE,NONE,0.0
ME-52806,Subject to Prior Sale,ROUND,0.4,H,SI2,VG,EX,VG,,NON,4.67 - 4.63 X 2.94,GIA,6381819613,1800.0,39.5,1089.0,,,,63.3,60.0,-,-,5.0,FACETED,NON,,14.0,34.5,44.5,41.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52806/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52806,https://thnk18.azureedge.net/img/CertImages/6381819613.jpg,,,,CRYSTAL  CAVITY,NONE,NONE,NONE,0.0
ME-52812,Subject to Prior Sale,ROUND,0.4,J,SI1,VG,VG,VG,,NON,4.70 - 4.69 X 2.88,GIA,7396031832,1700.0,22.5,1317.5,,,,61.3,60.0,-,-,5.0,Faceted,,,13.5,34.0,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52812/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52812,https://thnk18.azureedge.net/img/CertImages/7396031832.jpg,,,,Feather  Crystal  Cloud  Twinning Wisp,NONE,,NONE,0.0
ME-52813,Subject to Prior Sale,ROUND,0.4,J,SI2,VG,EX,VG,,MED,4.68 - 4.62 X 2.99,GIA,6392237752,1500.0,29.0,1065.0,,,,64.3,56.0,-,-,5.0,Faceted,,,14.5,33.5,44.5,41.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52813/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52813,https://thnk18.azureedge.net/img/CertImages/6392237752.jpg,,,,Crystal  Cloud  Feather,NONE,,NONE,0.0
ME-52828,Subject to Prior Sale,ROUND,0.3,E,I1,VG,EX,EX,,NON,4.29 - 4.27 X 2.64,GIA,1398676043,1400.0,31.0,966.0,,,,61.5,63.0,-,-,4.5,Faceted,,,12.5,33.5,44.5,41.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52828/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52828,https://thnk18.azureedge.net/img/CertImages/1398676043.jpg,,,,Feather,NONE,,NONE,0.0
ME-52829,Subject to Prior Sale,ROUND,0.31,F,VVS1,EX,EX,EX,,FNT,4.30 - 4.29 X 2.67,GIA,7398434372,2700.0,35.0,1755.0,,,,62.2,59.0,-,-,4.0,Faceted,,,0.0,36.0,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52829/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52829,https://thnk18.azureedge.net/img/CertImages/7398434372.jpg,,,,Cloud  Pinpoint  Feather  Cavity,NONE,,NONE,0.0
ME-52839,Subject to Prior Sale,ROUND,0.3,F,SI1,EX,EX,EX,,MED,4.31 - 4.30 X 2.67,GIA,2398304298,2000.0,28.0,1440.0,,,,62.1,56.0,-,-,3.5,Faceted,,,16.0,36.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52839/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52839,https://thnk18.azureedge.net/img/CertImages/2398304298.jpg,,,,Cloud  Crystal  Needle,NONE,,NONE,0.0
ME-52841,Subject to Prior Sale,ROUND,0.35,G,VVS1,EX,VG,EX,,STG,4.50 - 4.49 X 2.81,GIA,1399432941,2500.0,34.0,1650.0,,,,62.6,57.0,-,-,3.5,Faceted,,,0.0,36.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52841/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52841,https://thnk18.azureedge.net/img/CertImages/1399432941.jpg,,,,Pinpoint  Cavity,NONE,,NONE,0.0
ME-52845,Subject to Prior Sale,ROUND,0.3,G,VS1,EX,EX,EX,,MED,4.31 - 4.28 X 2.66,GIA,1405286874,2200.0,33.0,1474.0,,,,62.0,58.0,-,-,4.0,FACETED,NON,,14.5,34.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52845/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52845,https://thnk18.azureedge.net/img/CertImages/1405286874.jpg,,,,CRYSTAL  PINPOINT  NEEDLE,INSPECTION ADVISABLE,NONE,NONE,0.0
ME-52853,Subject to Prior Sale,ROUND,0.3,I,SI1,VG,VG,VG,,MED,4.25 - 4.22 X 2.67,GIA,6391124327,1600.0,29.0,1136.0,,,,63.1,58.0,-,-,5.0,Faceted,,,16.0,37.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52853/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52853,https://thnk18.azureedge.net/img/CertImages/6391124327.jpg,,,,Twinning Wisp  Crystal  Indented Natural,NONE,,NONE,0.0
ME-52864,Subject to Prior Sale,ROUND,0.5,E,SI1,G,VG,VG,,FNT,4.97 - 4.92 X 3.22,GIA,6391781338,3500.0,33.0,2345.0,,,,65.1,56.0,-,-,5.0,Faceted,,,17.0,37.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/ME-52864/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=ME-52864,https://thnk18.azureedge.net/img/CertImages/6391781338.jpg,,,,Feather  Twinning Wisp  Crystal,NONE,,NONE,0.0
