STATUS,PACKETCODE,SHAPE,CRTWT,COL,CLR,rapaport,CUT,POL,SYM,FLOURESENCE,NATTS,COL-SHADE,MILKY,eye_clean,DIA_MN,DIA_MX,DPL,TBL,HT,LW,LAB,type2a_name,heart_and_arrow,measurement,GIRDLE,LN,WD,CA,CH,PA,PD,KTSVIEW,CERT_NO,COMMENT,LOC,INS,ARRIMG,CERTIMG,VIDEOS,VIDEOS_MP4,ASSET_PATH,HRTIMG,DIAMONDIMG,TYPE2A_PATH,PLOTIMG,EFCM,culet,Origin,ROUGH_PHOTO_PATH,ROUGH_PLAN_PATH,Process Carat,final_carat,is_fancy,final_discount,RTE,final_amount
MKAV,3325534,ROUND,16.71,I,VS2,40500.0,EX,EX,EX,MED,YT1,NB,NO,EC0,16.11,16.24,62.7,58.0,10.15,null,GIA,null,NO,16.11*16.24-10.15,STK,null,null,36.0,15.5,40.8,43.0,Crystal  Feather  Needle,1216931945,Pinpoints are not shown. Clouds are not shown.,MUMBAI,GIA 1216931945 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1216931945.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3325534.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3325534.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3325534.jpg,,,NO,NON,NAMIBIA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3325534.png,25.45,16.71,0,-21.8988,31631.0,528554.01
MKAV,6113001,ROUND,10.16,N,SI1,15500.0,EX,EX,EX,FNT,YT1,NB,NO,EC2,13.77,13.88,62.4,59.0,8.63,null,GIA,null,null,13.77*13.88-8.63,MED TO STK,null,null,34.5,14.0,41.6,44.0,Crystal  Feather  Cloud  Needle,2221042217,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 2221042217 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6113001.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2221042217.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6113001.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6113001.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6113001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6113001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6113001.jpg,,,,NON,,,,null,10.16,0,-38.6968,9502.0,96540.32
MKAV,1554623,ROUND,10.03,G,SI2,36500.0,EX,EX,EX,NON,YT1,NB,NO,EC1,13.7,13.75,62.7,55.0,8.6,null,GIA,null,NO,13.70*13.75-8.60,MED TO STK,null,null,36.0,16.5,40.6,43.0,Feather  Crystal  Needle,2225140744,Pinpoints  internal graining and surface graining are not shown.,MUMBAI,GIA 2225140744 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1554623.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2225140744.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1554623.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1554623.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1554623.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1554623.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1554623.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1554623.png,NO,NON,SOUTH AFRICA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1554623.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1554623.png,19.82,10.03,0,-21.4987,28653.0,287389.59
MKAV,1406820,ROUND,10.01,K,SI2,19000.0,VG,EX,VG,NON,YT2,MIX-T,NO,EC2,13.24,13.4,64.2,59.0,8.57,null,IGI,null,NO,13.24*13.40-8.57,STK TO THK,null,null,38.7,16.5,40.0,42.0,NEEDLE NATURAL FEATHER INDENTED NATURAL CRYSTAL TWINNING WISP,496110095,N/A,MUMBAI,IGI 496110095,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1406820.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/496110095.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1406820.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1406820.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1406820.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1406820.png,NO,PTD,SOUTH AFRICA,,,14.53,10.01,0,-53.6,8816.0,88248.16
MKAV,1009092,ROUND,7.2,D,I2,5200.0,VG,VG,VG,FNT,YT,NB,NO,EC2,11.91,12.05,64.68,55.1,7.76,null,NON,null,NO,11.91*12.05-7.76,STK TO THK,null,null,38.59,17.94,39.8,41.57,null,null,null,MUMBAI,null,,,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1009092.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1009092.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1009092.jpg,,,NO,NON,ANGOLA,,,10.66,7.2,0,-48.0,2704.0,19468.8
MKAV,6111001,ROUND,6.13,I,VS1,29000.0,EX,EX,EX,NON,NO,NB,NO,EC0,11.74,11.81,60.8,59.0,7.16,null,GIA,null,null,11.74*11.81-7.16,MED TO STK,null,null,35.5,14.5,40.6,42.5,Feather  Cloud  Pinpoint,6402718468,Additional clouds are not shown. Additional pinpoints are not shown.,HONGKONG,GIA 6402718468 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6111001.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6402718468.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6111001.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6111001.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6111001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6111001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6111001.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/6111001.png,,NON,,,,null,6.13,0,-25.0,21750.0,133327.5
MKAV,1583976,ROUND,6.2,M,VS1,12000.0,EX,EX,EX,NON,YT1,NB,NO,EC0,11.7,11.8,61.7,59.5,7.26,null,IGI,null,NO,11.70*11.80-7.26,MED TO STK,null,null,32.6,13.0,41.6,44.5,,496122410,null,MUMBAI,IGI 496122410,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/496122410.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1583976.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1583976.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1583976.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1583976.jpg,,,NO,PTD,CANADA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1583976.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1583976.png,10.03,6.2,0,-43.0,6840.0,42408.0
MKAV,3386856,ROUND,6.06,FANCY LIGHT BROWN-GREENISH YELLOW,SI1,0.0,EX,EX,EX,FNT,YES,MIX-T,NO,EC2,11.55,11.64,62.4,57.0,7.23,null,GIA,null,NO,11.55*11.64-7.23,MED TO STK,null,null,36.14,15.73,40.53,42.64,Crystal  Feather  Needle,2215651458,Clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 2215651458 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215651458.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3386856.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3386856.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3386856.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3386856.jpg,,,NO,NON,ANGOLA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3386856.png,9.89,6.06,1,0.0,4500.0,27270.0
MKAV,6089013,ROUND,6.01,DARK BROWN,SI3,0.0,VG,VG,VG,NON,YT2,LB,NO,EC2,11.27,11.39,64.71,55.61,7.34,null,NON,null,NO,11.27*11.39-7.34,STK TO THK,null,null,38.68,17.68,40.45,42.47,null,null,null,MUMBAI,null,,,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6089013.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6089013.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6089013.jpg,,,,NON,NAMIBIA,,,null,6.01,1,0.0,2250.0,13522.5
MKAV,6122003,ROUND,5.05,E,IF,85000.0,EX,EX,EX,MED,NO,NB,NO,EC0,10.92,10.99,61.6,59.0,6.75,null,GIA,null,null,10.92*10.99-6.75,MED TO STK,null,null,35.0,14.5,40.8,43.0,Extra Facet,3405922842,Minor details of polish are not shown.,HONGKONG,GIA 3405922842 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6122003.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/3405922842.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6122003.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/6122003.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6122003.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6122003.jpg,,,,NON,,,,null,5.05,0,-54.0,39100.0,197455.0
