availability,cash_price,comments,inclusion_center,color,girdle_min, city,country,cash_discount,cert_comment,lab,fancy_color_dominant_color,fancy_color_intensity,fancy_color_overtone,cut,girdle_condition,set_matched_pair_separable,milky,pair_stock_num,parcel_stones,state,polish,treatment,fancy_color_secondary_color, culet_condition,bgm,crown_angle,laser_inscription,trade_show.,eye_clean,shade,inclusion_black,inclusion_open,camera_type,size,symmetry,measurement,ratio, meas_length,meas_width, fluor_color, meas_depth,culet_size,image_url,stock_num,pavilion_angle,Star,Lower_Halves,video_url,shape,clarity, discount_percent,price_per_carat,total_sales_price, Girdle,girdle_percent,crown_height,pavilion_depth,camera_ref,cert_url,cert_num,fluor_intensity,table_percent,depth_percent
A,,Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,35.5,GIA 6435716579,,100%,NONE,NB,NO OPEN,,0.27,EX,4.13 - 4.15 * 2.59,null,4.15,4.13,BLUE,2.59,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-152881/still.jpg,15R-152881,41.2,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-152881/video.mp4,ROUND,IF,23.5,2260.05,610.21,MED - STK,,15,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6435716579.Pdf,6435716579,MED,58,62.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,31.5,GIA 2396720046,,100%,NONE,NB,NO OPEN,,0.27,EX,4.21 - 4.23 * 2.54,null,4.23,4.21,null,2.54,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-121699/still.jpg,15R-121699,41.8,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-121699/video.mp4,ROUND,IF,27.5,2333.25,629.98,MED,,12.5,44.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/2396720046.Pdf,2396720046,NONE,60,60.1
A,,Surface Graining  Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,35.5,GIA 5413728271,,100%,NONE,NB,NO OPEN,,0.24,EX,3.99 - 4.03 * 2.47,null,4.03,3.99,null,2.47,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-138214/still.jpg,15R-138214,40.6,50,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-138214/video.mp4,ROUND,IF,27.5,2333.25,559.98,THN - MED,,16,42.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/5413728271.Pdf,5413728271,NONE,55,61.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34,GIA 6412134630,,100%,NONE,NB,NO OPEN,,0.24,EX,4.00 - 4.02 * 2.46,null,4.02,4,null,2.46,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-131977/still.jpg,15R-131977,40.6,50,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-131977/video.mp4,ROUND,IF,29.25,2365.275,567.67,MED - STK,,15,42.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6412134630.Pdf,6412134630,NONE,56,61.4
A,,Surface Graining  Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,33,GIA 6412097428,,100%,NONE,NB,NO OPEN,,0.28,EX,4.24 - 4.28 * 2.60,null,4.28,4.24,null,2.6,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-136342/still.jpg,15R-136342,41.8,45,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-136342/video.mp4,ROUND,IF,29.5,2369.85,663.56,MED - STK,,13.5,44.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/6412097428.Pdf,6412097428,NONE,60,60.9
A,,Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,34.5,GIA 1407065294,,100%,NONE,NB,NO OPEN,,0.24,EX,4.01 - 4.03 * 2.48,null,4.03,4.01,null,2.48,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-123866/still.jpg,15R-123866,41,45,75,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-123866/video.mp4,ROUND,IF,29.75,2374.425,569.86,THN - MED,,15.5,43.5,,https://pckrstg.blob.core.windows.net/hdfile/Cert/1407065294.Pdf,1407065294,NONE,55,61.6
A,,Minor Details of Polish,NONE,D,,,INDIA,,null,GIA,null,null,null,EX,,,NONE,,,,EX,,,,,32.5,GIA 7416171404,,100%,NONE,NB,NO OPEN,,0.27,EX,4.16 - 4.19 * 2.59,null,4.19,4.16,null,2.59,NONE,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-132257/still.jpg,15R-132257,41.4,45,80,https://pckrstg.blob.core.windows.net/hdfile/DimImg/360Viewer/HD4/imaged/15R-132257/video.mp4,ROUND,IF,30.25,2383.575,643.57,MED - STK,,14,44,,https://pckrstg.blob.core.windows.net/hdfile/Cert/7416171404.Pdf,7416171404,NONE,56,61.9
