stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
S1PZ5,S1PZ5,INDIA,G,round,1.01,F,VS1,EX,EX,EX,N,6.42-6.45x3.97,GIA,6405512544,11000,-27.40%,$8065.86,WH,M0,,,BT0,BC0,EC0,,Y,58.00,61.80,33.00,41.60,Feather  Cloud  Pinpoint  Natural,N,2021-09-23,,,,,NO BGM  no black
R1PZ5,229997,HK,G,round,0.50,G,VS1,VG,EX,VG,N,4.93-4.99x3.20,GIA,2394621157,4000,-38.30%,$1234.00,WH,M0,,,BT0,BC0,EC0,VG,Y,56.00,64.60,38.50,40.20,Cavity  Cloud  Pinpoint,N,2021-08-31,,Arrived,,,NO BGM  no black
P1PZ5,229995,HK,G,heart,1.00,F,VS2,--,VG,VG,N,5.89x6.60x4.01,GIA,1403729696,6500,-35.20%,$4212.00,WH,M0,,,BT1,BC0,EC0,,Y,64.00,60.80,0.00,0.00,Feather  Crystal  Indented Natural  Cloud  Needle  Natural,N,2021-10-25,,Arrived,,,NO BGM
O1PZ5,229994,HK,G,heart,1.00,F,VS2,--,EX,VG,N,5.70x6.74x4.14,GIA,3405345115,6500,-34.60%,$4251.00,WH,M0,,,BT0,BC0,EC0,,Y,62.00,61.40,0.00,0.00,Indented Natural  Feather  Natural,N,2021-10-05,,Arrived,,,NO BGM  no black
N1PZ5,229993,HK,G,heart,1.00,F,VS2,--,VG,VG,N,6.00x6.61x4.05,GIA,6402521476,6500,-35.50%,$4192.50,WH,M0,,,BT1,BC1,EC0,,Y,62.00,61.30,0.00,0.00,Crystal  Cloud  Feather  Indented Natural  Extra Facet,N,2021-10-21,,Arrived,,,NO BGM
M1PZ5,229992,HK,G,heart,1.00,F,VS2,--,EX,EX,N,5.89x6.81x4.06,GIA,7406225485,6500,-29.80%,$4563.00,WH,M0,,,BT0,BC1,EC0,,Y,60.00,59.50,0.00,0.00,Crystal  Indented Natural  Feather  Cavity  Needle  Natural,N,2021-10-01,,Arrived,,,NO BGM  table no black
L1PZ5,229991,HK,G,heart,1.00,E,VS2,--,EX,VG,N,5.26x6.52x4.22,GIA,1409542901,6800,-38.10%,$4209.20,WH,M0,,,BT0,BC0,EC0,,Y,64.00,64.70,0.00,0.00,Indented Natural  Cloud  Needle,N,2021-10-18,,Arrived,,,NO BGM  no black
K1PZ5,229990,HK,G,heart,1.00,D,VVS2,--,EX,VG,N,5.60x6.64x4.08,GIA,5221107991,9100,-40.10%,$5450.90,WH,M0,,,BT0,BC0,EC0,,Y,64.00,61.40,0.00,0.00,Pinpoint  Natural,N,2021-10-27,,Arrived,,,NO BGM  no black
J1PZ5,229989,HK,G,round,1.00,H,VS1,EX,VG,VG,N,6.30-6.35x3.96,GIA,5396561795,8800,-37.20%,$5526.40,WH,M0,,,BT1,BC0,EC0,EX,Y,57.00,62.60,36.00,40.60,Crystal  Pinpoint  Natural,VS,2021-09-21,,Arrived,,,NO BGM
I1PZ5,229988,HK,G,round,1.00,H,VS2,VG,EX,VG,N,6.16-6.25x3.98,GIA,7416093800,8300,-35.40%,$5361.80,WH,M0,,,BT0,BC0,EC0,,Y,59.00,64.10,37.50,40.60,Cloud  Crystal  Indented Natural  Feather  Cavity  Needle  Natural,N,2021-10-29,,Arrived,,,NO BGM  no black
H1PZ5,229987,HK,G,round,1.00,D,VS1,EX,EX,EX,N,6.38-6.43x3.94,GIA,2417070653,12400,-28.80%,$8828.80,WH,M0,,,BT0,BC0,EC0,,Y,60.00,61.50,33.50,41.60,Indented Natural  Pinpoint,N,2021-10-28,,Arrived,,,NO BGM  no black
G1PZ5,229986,HK,G,round,1.00,D,VS1,EX,EX,EX,N,6.35-6.39x3.99,GIA,1415073383,12400,-29.20%,$8779.20,WH,M0,,,BT0,BC0,EC0,,Y,56.00,62.70,36.50,40.80,Crystal  Feather  Indented Natural  Needle  Pinpoint  Natural,N,2021-10-28,,Arrived,,,NO BGM  no black
